Dyad,Round,Player,previous_absent_round,DLIndex,Similarity,Consistency,Joint,Size_visited
142-263,49,142-263PL1,47,0.59375,0.578125,0.4444444444444444,16,37
142-263,49,142-263PL2,47,0.59375,0.515625,0.391304347826087,16,33
142-263,52,142-263PL1,49,0.546875,0.484375,0.44680851063829785,17,31
142-263,52,142-263PL2,49,0.546875,0.59375,0.2909090909090909,17,38
142-263,55,142-263PL1,52,0.46875,0.46875,0.32608695652173914,26,30
142-263,55,142-263PL2,52,0.46875,0.8125,0.5517241379310345,26,52
142-263,57,142-263PL1,55,0.5,0.46875,0.36363636363636365,21,30
142-263,57,142-263PL2,55,0.5,0.6875,0.6551724137931034,21,44
142-263,58,142-263PL1,57,0.546875,0.5625,0.32,19,36
142-263,58,142-263PL2,57,0.546875,0.578125,0.5576923076923077,19,37
142-263,59,142-263PL1,58,0.546875,0.4375,0.3333333333333333,16,28
142-263,59,142-263PL2,58,0.546875,0.609375,0.46153846153846156,16,39
142-263,60,142-263PL1,59,0.375,0.640625,0.40816326530612246,30,41
142-263,60,142-263PL2,59,0.375,0.671875,0.3898305084745763,30,43
151-962,2,151-962PL1,,0.390625,0.484375,,23,31
151-962,2,151-962PL2,,0.390625,0.625,,23,40
151-962,3,151-962PL1,2,0.421875,0.328125,0.2682926829268293,12,21
151-962,3,151-962PL2,2,0.421875,0.5,0.32075471698113206,12,30
151-962,6,151-962PL1,3,0.578125,0.515625,0.22727272727272727,15,33
151-962,6,151-962PL2,3,0.578125,0.53125,0.391304347826087,15,34
151-962,8,151-962PL1,6,0.4375,0.375,0.26666666666666666,11,24
151-962,8,151-962PL2,6,0.4375,0.4090909090909091,0.42857142857142855,11,26
151-962,9,151-962PL1,8,0.453125,0.453125,0.17777777777777778,15,29
151-962,9,151-962PL2,8,0.453125,0.46875,0.36585365853658536,15,30
151-962,10,151-962PL1,9,0.515625,0.546875,0.23076923076923078,14,35
151-962,10,151-962PL2,9,0.515625,0.4090909090909091,0.3023255813953488,14,26
151-962,15,151-962PL1,10,0.53125,0.546875,0.48936170212765956,17,35
151-962,15,151-962PL2,10,0.53125,0.515625,0.37209302325581395,17,33
