Dyad,Type,S_obs_size,tie_count,late_rounds,late_rows,h_obs,h_fiedler_naive,h_lr_baseline,h_tb_baseline,h_best_axis_baseline,eta,delta_vs_fiedler_naive,delta_vs_best_axis,baseline_status,connected_S,connected_Sbar,connected_both,corr_lr,corr_tb,dominant_score,score_ratio,MI,JSD,DLIndex_mean,Joint_mean,Similarity_mean,Consistency_mean,Size_visited_mean,late_category_mode,late_categories
140-615,MIXED,28,0,7,14,0.5151515151515151,0.13333333333333333,0.10476190476190476,0.10476190476190476,0.10476190476190476,0.25882352941176473,0.38181818181818183,0.41038961038961036,no_mejora_fiedler,True,True,True,0.01639064221429369,-0.0613131430979134,0.0613131430979134,3.7407407405125146,0.6419013237298604,0.6610067837327572,0.7924107142857143,6.285714285714286,0.9006696428571429,0.8236006114810462,31.642857142857142,OUT,"IN,OUT,RS"
151-962,MIXED,33,19,2,4,0.5263157894736842,0.13333333333333333,0.10476190476190476,0.10476190476190476,0.10476190476190476,0.25333333333333335,0.3929824561403509,0.4215538847117794,no_mejora_fiedler,False,False,False,0.23145502494313788,0.038575837490523,0.23145502494313788,5.9999999998444595,0.24969940712575858,0.2591682603174402,0.546875,16.5,0.5983237044817927,0.39469782098886064,34.0,RS,RS
618-522,MIXED,35,16,4,8,0.5339805825242718,0.13333333333333333,0.10476190476190476,0.10476190476190476,0.10476190476190476,0.2496969696969697,0.4006472491909385,0.42921867776236705,no_mejora_fiedler,True,False,False,0.14817534037553343,-0.05109494495708048,0.14817534037553343,2.8999999999432435,0.1530976682077647,0.16458733001245857,0.4453125,11.0,0.41460020242914974,0.2419047760010846,25.25,RS,RS
505-833,MIXED,16,26,3,6,0.7407407407407407,0.13333333333333333,0.10476190476190476,0.10476190476190476,0.10476190476190476,0.18000000000000002,0.6074074074074074,0.635978835978836,no_mejora_fiedler,False,False,False,-0.11572751247156894,0.15430334996209194,0.15430334996209194,1.333333333321812,0.39889953473652273,0.4120919198386137,0.3958333333333333,3.0,0.28163804397357023,0.1718276087841305,15.666666666666666,RS,RS
142-263,MIXED,18,10,4,8,0.8058252427184466,0.13333333333333333,0.10476190476190476,0.10476190476190476,0.10476190476190476,0.16546184738955824,0.6724919093851133,0.7010633379565419,no_mejora_fiedler,False,True,False,-0.09449111825230681,0.09842824817948631,0.09842824817948631,1.0416666666556431,0.13969830179846593,0.14089118257877792,0.53125,18.5,0.5546875,0.4281202459753258,35.5,RS,RS
269-653,MIXED,53,8,5,10,0.8181818181818182,0.13333333333333333,0.10476190476190476,0.10476190476190476,0.10476190476190476,0.16296296296296295,0.6848484848484849,0.7134199134199135,no_mejora_fiedler,True,False,False,0.10029891276567843,-0.11209878485575822,0.11209878485575822,1.117647058812386,0.16616912296751996,0.22460504844566026,0.54375,10.0,0.5438882488479263,0.3945818071332532,27.4,RS,"ALL,NOTHING,RS"
687-660,MIXED,54,6,10,20,0.8867924528301887,0.13333333333333333,0.10476190476190476,0.10476190476190476,0.10476190476190476,0.150354609929078,0.7534591194968554,0.782030548068284,no_mejora_fiedler,True,False,False,0.1868770903945317,0.12667507469696443,0.1868770903945317,1.4752475247408294,0.16127976958943246,0.22088177946867157,0.3828125,3.4,0.41251379074038697,0.14329850507456562,15.65,RS,"NOTHING,RS"
711-459,MIXED,11,10,7,14,0.8888888888888888,0.13333333333333333,0.10476190476190476,0.10476190476190476,0.10476190476190476,0.15,0.7555555555555555,0.7841269841269841,no_mejora_fiedler,False,True,False,0.06570526420126227,0.06278503023676171,0.06570526420126227,1.0465116278903086,0.1692780463104182,0.1853004295946536,0.47544642857142855,7.571428571428571,0.39549830693667803,0.26688612388729294,22.785714285714285,RS,RS
251-716,TB,32,0,3,6,0.10476190476190476,0.13333333333333333,0.10476190476190476,0.10476190476190476,0.10476190476190476,1.2727272727272727,-0.028571428571428567,0.0,alcanza_axis,True,True,True,0.0,-0.8728715609439697,0.8728715609439697,872871560943.9697,1.0,1.0,1.0,0.0,1.0,1.0,32.0,BOTTOM,"BOTTOM,TOP"
277-491,TB,32,0,5,10,0.10476190476190476,0.13333333333333333,0.10476190476190476,0.10476190476190476,0.10476190476190476,1.2727272727272727,-0.028571428571428567,0.0,alcanza_axis,True,True,True,0.0047869987693421046,0.8746530608555069,0.8746530608555069,182.71428567611673,0.9878430475948232,0.9878623262018352,0.996875,0.2,0.9969696969696968,0.9939393939393939,32.1,BOTTOM,"BOTTOM,RS,TOP"
331-863,TB,32,0,4,8,0.10476190476190476,0.13333333333333333,0.10476190476190476,0.10476190476190476,0.10476190476190476,1.2727272727272727,-0.028571428571428567,0.0,alcanza_axis,True,True,True,0.0,-0.8728715609439697,0.8728715609439697,872871560943.9697,1.0,1.0,1.0,0.0,1.0,0.9962121212121212,32.0,BOTTOM,"BOTTOM,TOP"
354-344,TB,32,1,12,24,0.10476190476190476,0.13333333333333333,0.10476190476190476,0.10476190476190476,0.10476190476190476,1.2727272727272727,-0.028571428571428567,0.0,alcanza_axis,True,True,True,-0.0030902512089026335,0.9260452789344844,0.9260452789344844,299.6666665696935,0.6748064128114508,0.6819322427422595,0.8606770833333334,3.1666666666666665,0.8262228689418704,0.7264511020433452,30.708333333333332,RS,"BOTTOM,RS,TOP"
546-111,TB,32,0,8,16,0.10476190476190476,0.13333333333333333,0.10476190476190476,0.10476190476190476,0.10476190476190476,1.2727272727272727,-0.028571428571428567,0.0,alcanza_axis,True,True,True,0.0,0.8728715609439697,0.8728715609439697,872871560943.9697,1.0,1.0,1.0,0.0,1.0,1.0,32.0,BOTTOM,"BOTTOM,TOP"
