Dyad,window_start,window_end,partition_size,tie_count,low_margin_count,soft_specialization,h_obs,connected,valid_partition,orientation,corr_lr,corr_tb,dominant_score,score_ratio
303-869,40,60,27,7,22,0.6428571428571429,0.17575757575757575,False,True,TB,-0.08565936145834113,-0.7556379385789377,0.7556379385789377,8.821428571325587
303-869,50,60,20,17,64,0.7704918032786885,0.21951219512195122,True,True,TB,0.003978793837995188,-0.7360768600291101,0.7360768600291101,184.99999995350353
313-199,30,60,11,53,63,1.0,0.6235294117647059,True,True,MIXED,-0.014580296087995104,-0.2187044413199266,0.2187044413199266,14.999999998971218
313-199,40,60,0,64,64,,,False,False,MIXED,0.0,0.0,0.0,0.0
313-199,50,60,0,64,64,,,False,False,MIXED,0.0,0.0,0.0,0.0
331-863,30,60,32,0,0,1.0,0.10476190476190476,True,True,TB,0.0,-0.8728715609439697,0.8728715609439697,872871560943.9697
331-863,40,60,32,0,0,1.0,0.10476190476190476,True,True,TB,0.0,-0.8728715609439697,0.8728715609439697,872871560943.9697
331-863,50,60,32,0,64,1.0,0.10476190476190476,True,True,TB,0.0,-0.8728715609439697,0.8728715609439697,872871560943.9697
352-425,30,60,64,0,0,1.0,,False,False,MIXED,0.0,0.0,0.0,0.0
352-425,40,60,64,0,0,1.0,,False,False,MIXED,0.0,0.0,0.0,0.0
352-425,50,60,64,0,0,1.0,,False,False,MIXED,0.0,0.0,0.0,0.0
354-344,30,60,32,1,1,0.7922350472193075,0.10476190476190476,True,True,TB,-0.03748029332279445,0.9225704793455263,0.9225704793455263,24.614814814158095
354-344,40,60,32,1,2,0.8236092265943012,0.10476190476190476,True,True,TB,-0.0030902512089026335,0.9260452789344844,0.9260452789344844,299.6666665696935
354-344,50,60,32,0,2,0.9107505070993914,0.10476190476190476,True,True,TB,-0.004229532530527519,0.9140489746528908,0.9140489746528908,216.11111106001516
356-137,30,60,0,0,0,0.9961013645224172,,False,False,MIXED,-0.0029889256241175666,0.0012809681246218063,0.0029889256241175666,2.3333333315118088
356-137,40,60,0,0,0,1.0,,False,False,MIXED,0.0,0.0,0.0,0.0
356-137,50,60,0,0,0,1.0,,False,False,MIXED,0.0,0.0,0.0,0.0
359-904,30,60,64,0,3,0.6212471131639723,,False,False,MIXED,0.0418515446313561,-0.11946713649314364,0.11946713649314364,2.854545454477245
359-904,40,60,64,0,0,0.7191011235955056,,False,False,MIXED,0.008202057360261195,-0.07873975065850723,0.07873975065850723,9.599999998829533
359-904,50,60,62,2,17,0.6228070175438597,,False,False,MIXED,0.036286245301838604,-0.08094623951948632,0.08094623951948632,2.2307692307077596
379-897,30,60,9,21,56,0.3561643835616438,,False,False,MIXED,0.22502571869471744,0.18644988120419442,0.22502571869471744,1.206896551717665
379-897,40,60,9,21,56,0.3561643835616438,,False,False,MIXED,0.22502571869471744,0.18644988120419442,0.22502571869471744,1.206896551717665
379-897,50,60,0,27,64,1.0,,False,False,MIXED,0.12107745056264213,-0.013453050062515785,0.12107745056264213,8.999999999331012
416-710,30,60,64,0,0,1.0,,False,False,MIXED,0.0,0.0,0.0,0.0
416-710,40,60,64,0,0,1.0,,False,False,MIXED,0.0,0.0,0.0,0.0
416-710,50,60,64,0,64,1.0,,False,False,MIXED,0.0,0.0,0.0,0.0
419-723,30,60,32,0,0,0.9961013645224172,0.10476190476190476,True,True,LR,-0.8740472503669509,0.002988925624117563,0.8740472503669509,292.42857133073426
419-723,40,60,32,0,0,0.9955456570155902,0.10476190476190476,True,True,LR,-0.874198303555831,0.0034167437883254118,0.874198303555831,255.8571427822597
419-723,50,60,32,0,0,0.9922178988326849,0.10476190476190476,True,True,LR,-0.8750150501384624,0.005987395259989477,0.8750150501384624,146.14285711844875
435-261,30,60,32,0,0,1.0,0.10476190476190476,True,True,LR,0.8728715609439694,0.0,0.8728715609439694,872871560943.9695
435-261,40,60,32,0,0,1.0,0.10476190476190476,True,True,LR,0.8728715609439694,0.0,0.8728715609439694,872871560943.9695
435-261,50,60,32,0,0,1.0,0.10476190476190476,True,True,LR,0.8728715609439694,0.0,0.8728715609439694,872871560943.9695
444-475,30,60,29,17,33,0.40869565217391307,0.3888888888888889,False,True,LR,0.7076373591828315,0.17418765764500468,0.7076373591828315,4.062499999976677
444-475,40,60,28,12,34,0.7758620689655172,0.22093023255813954,True,True,LR,0.7966377704517336,0.10514001031342675,0.7966377704517336,7.5769230768510125
444-475,50,60,6,51,64,1.0,,False,False,LR,0.4160939287098017,-0.08321878574196034,0.4160939287098017,4.999999999939917
462-640,30,60,0,0,0,0.9961013645224172,,False,False,MIXED,-0.0029889256241175666,-0.002988925624117563,0.0029889256241175666,0.9999999996654327
462-640,40,60,0,0,0,1.0,,False,False,MIXED,0.0,0.0,0.0,0.0
462-640,50,60,0,0,0,1.0,,False,False,MIXED,0.0,0.0,0.0,0.0
469-569,30,60,32,0,0,0.9922178988326849,0.10476190476190476,True,True,LR,-0.8752302265957023,0.005133315111998254,0.8752302265957023,170.49999996678557
469-569,40,60,32,0,0,0.9844961240310077,0.10476190476190476,True,True,LR,-0.8771837436546652,0.010299613428430516,0.8771837436546652,85.1666666583977
469-569,50,60,31,1,64,0.9692307692307692,0.11219512195121951,True,True,LR,-0.8763352300199677,0.024056261216234404,0.8763352300199677,36.42857142705713
475-186,30,60,9,41,63,0.8,,False,False,MIXED,-0.10699012312772824,0.07489308618940975,0.10699012312772824,1.4285714285523539
475-186,40,60,0,62,64,1.0,,False,False,TB,0.23145502494313785,0.2700308624336608,0.2700308624336608,1.1666666666616259
475-186,50,60,0,64,64,,,False,False,MIXED,0.0,0.0,0.0,0.0
483-710,30,60,56,7,21,0.4652014652014652,,False,False,MIXED,0.14543137258438976,-0.0674681625391499,0.14543137258438976,2.155555555523606
483-710,40,60,58,6,36,0.6515151515151515,,False,False,MIXED,0.10987463131972675,-0.013734328914965843,0.10987463131972675,7.9999999994175175
483-710,50,60,58,6,36,0.6515151515151515,,False,False,MIXED,0.10987463131972675,-0.013734328914965843,0.10987463131972675,7.9999999994175175
487-811,30,60,64,0,0,0.5329341317365269,,False,False,MIXED,0.037333901465621766,0.13247513423285165,0.13247513423285165,3.548387096679155
487-811,40,60,64,0,0,0.48344370860927155,,False,False,MIXED,0.045134486025527054,0.16015462783251538,0.16015462783251538,3.5483870966955764
487-811,50,60,64,0,5,0.6410256410256411,,False,False,MIXED,0.04501491366063437,0.1462984693970617,0.1462984693970617,3.2499999999278018
505-833,30,60,46,11,42,0.44,0.746031746031746,False,True,MIXED,-0.036024401106514725,0.036024401106514704,0.036024401106514725,0.9999999999722416
505-833,40,60,16,26,56,0.5106382978723404,0.7407407407407407,False,True,MIXED,-0.11572751247156894,0.15430334996209194,0.15430334996209194,1.333333333321812
505-833,50,60,0,64,64,,,False,False,MIXED,0.0,0.0,0.0,0.0
538-623,30,60,30,2,4,0.5152542372881356,0.12690355329949238,True,True,LR,0.9152530270425296,-0.02125306654555687,0.9152530270425296,43.06451612700598
538-623,40,60,30,2,4,0.8429752066115702,0.12690355329949238,True,True,LR,0.9067098773061001,-0.047612619127945885,0.9067098773061001,19.043478260469602
538-623,50,60,31,1,4,0.875,0.1188118811881188,True,True,LR,0.9007916634244066,-0.055515987209058856,0.9007916634244066,16.225806451320633
546-111,30,60,32,0,0,1.0,0.10476190476190476,True,True,TB,0.0,0.8728715609439697,0.8728715609439697,872871560943.9697
546-111,40,60,32,0,0,1.0,0.10476190476190476,True,True,TB,0.0,0.8728715609439697,0.8728715609439697,872871560943.9697
546-111,50,60,32,0,0,1.0,0.10476190476190476,True,True,TB,0.0,0.8728715609439697,0.8728715609439697,872871560943.9697
588-564,30,60,28,0,0,1.0,0.1270718232044199,True,True,TB,0.10484501229142515,-0.8646811899311264,0.8646811899311264,8.247232472246063
588-564,40,60,28,0,0,1.0,0.1270718232044199,True,True,TB,0.1009854520487736,-0.8560812185043764,0.8560812185043764,8.477272727188783
588-564,50,60,28,0,0,1.0,0.1270718232044199,True,True,TB,0.09680297825858596,-0.8608550566567107,0.8608550566567107,8.892857142765276
590-286,30,60,63,1,5,0.5625,,False,False,MIXED,0.061244243311680324,-0.05949440778848947,0.061244243311680324,1.0294117646885796
590-286,40,60,62,2,9,0.6058394160583942,,False,False,MIXED,0.07609017460417367,-0.0466359134670741,0.07609017460417367,1.6315789473334383
590-286,50,60,63,1,12,0.6299559471365639,,False,False,MIXED,-0.0014396374689189528,-0.010077462282432649,0.010077462282432649,6.99999999513765
598-684,30,60,48,11,34,0.23857868020304568,0.8476190476190476,False,True,MIXED,0.057863756235784436,0.08872442622820287,0.08872442622820287,1.5333333333068355
598-684,40,60,38,17,50,0.40397350993377484,0.5932203389830508,False,True,TB,0.020239668840091096,0.332508845230068,0.332508845230068,16.428571427759728
598-684,50,60,26,30,64,0.4857142857142857,0.6646706586826348,False,True,MIXED,-0.10291616342770396,0.07484811885651196,0.10291616342770396,1.3749999999816296
618-522,30,60,55,6,21,0.3041825095057034,,False,False,MIXED,0.047006339568147204,-0.0872974877694162,0.0872974877694162,1.8571428571033481
618-522,40,60,35,16,52,0.32673267326732675,0.5339805825242718,False,True,MIXED,0.14817534037553343,-0.05109494495708048,0.14817534037553343,2.8999999999432435
618-522,50,60,28,20,55,0.35947712418300654,0.6097560975609756,False,True,MIXED,0.15457100558382791,-0.06970849271427534,0.15457100558382791,2.217391304316016
636-625,30,60,61,2,9,0.3159851301115242,,False,False,MIXED,-0.10296719023632006,-0.037373276456145785,0.10296719023632006,2.7551020407426092
636-625,40,60,55,5,15,0.33826247689463956,,False,False,MIXED,-0.10959211613071801,-0.08454248958655391,0.10959211613071801,1.2962962962809628
636-625,50,60,45,16,44,0.37362637362637363,0.7142857142857143,False,True,MIXED,-0.10499013139145208,1.3877787807814457e-17,0.10499013139145208,104988674380.9068
637-838,30,60,32,0,0,1.0,0.10476190476190476,True,True,LR,-0.8721348833746605,0.005571377633351637,0.8721348833746605,156.53846151036467
637-838,40,60,32,0,0,1.0,0.10476190476190476,True,True,LR,-0.8728715609439694,0.0,0.8728715609439694,872871560943.9695
637-838,50,60,32,0,0,1.0,0.10476190476190476,True,True,LR,-0.8728715609439694,0.0,0.8728715609439694,872871560943.9695
648-175,30,60,32,0,0,1.0,0.10476190476190476,True,True,LR,0.8728715609439694,0.0,0.8728715609439694,872871560943.9695
648-175,40,60,32,0,0,1.0,0.10476190476190476,True,True,LR,0.8728715609439694,0.0,0.8728715609439694,872871560943.9695
648-175,50,60,32,0,0,1.0,0.10476190476190476,True,True,LR,0.8728715609439694,0.0,0.8728715609439694,872871560943.9695
656-979,30,60,32,3,3,0.863080684596577,0.10476190476190476,True,True,LR,0.9030677856353182,-0.03785314071525286,0.9030677856353182,23.857142856512603
656-979,40,60,35,0,3,0.9176029962546817,0.12169312169312169,True,True,LR,0.8833170210735917,-0.06754261233631237,0.8833170210735917,13.077922077728452
656-979,50,60,0,64,64,,,False,False,MIXED,0.0,0.0,0.0,0.0
687-660,30,60,52,7,22,0.44352617079889806,0.875,False,True,MIXED,0.13599661180287215,0.17645841366157794,0.17645841366157794,1.297520661147484
687-660,40,60,54,6,23,0.4696485623003195,0.8867924528301887,False,True,MIXED,0.1868770903945317,0.12667507469696443,0.1868770903945317,1.4752475247408294
687-660,50,60,47,11,34,0.48444444444444446,0.6907216494845361,False,True,LR,0.34415773835870733,-0.07917243746280121,0.34415773835870733,4.3469387754553
711-459,30,60,12,9,19,0.41208791208791207,0.85,False,True,MIXED,0.034225021182850035,0.04155895429346075,0.04155895429346075,1.2142857142502348
711-459,40,60,11,10,27,0.38557993730407525,0.8888888888888888,False,True,MIXED,0.06570526420126227,0.06278503023676171,0.06570526420126227,1.0465116278903086
711-459,50,60,19,23,48,0.38064516129032255,0.674074074074074,False,True,MIXED,-0.05208784251764838,0.1781952507182708,0.1781952507182708,3.4210526315132697
768-541,30,60,32,0,0,0.8914405010438413,0.10476190476190476,True,True,TB,0.0035101519996923215,-0.9081264673489711,0.9081264673489711,258.71428564058124
768-541,40,60,32,0,0,0.9755102040816327,0.10476190476190476,True,True,TB,0.028077498708803238,-0.9011971359761035,0.9011971359761035,32.09677419240523
768-541,50,60,32,0,0,0.9888268156424581,0.10476190476190476,True,True,TB,0.02315448381439238,-0.9030248687613032,0.9030248687613032,38.99999999831568
825-534,30,60,32,0,0,0.9819354838709677,0.10476190476190476,True,True,TB,0.0037240191885712093,-0.8780091394592882,0.8780091394592882,235.76923070592014
825-534,40,60,32,0,0,1.0,0.10476190476190476,True,True,TB,0.0,-0.8728715609439697,0.8728715609439697,872871560943.9697
825-534,50,60,32,0,0,1.0,0.10476190476190476,True,True,TB,0.0,-0.8728715609439697,0.8728715609439697,872871560943.9697
880-349,30,60,4,59,62,1.0,,False,False,MIXED,0.02893187811789224,0.019287918745261486,0.02893187811789224,1.4999999999222318
880-349,40,60,4,59,63,1.0,,False,False,MIXED,0.03659625273557,0.03659625273557,0.03659625273557,0.9999999999726749
880-349,50,60,2,61,63,1.0,,False,False,MIXED,0.0,-3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-06
938-219,30,60,64,0,0,1.0,,False,False,MIXED,-0.0008553421799984973,-0.005987395259989453,0.005987395259989453,6.999999991816108
938-219,40,60,64,0,0,1.0,,False,False,MIXED,-0.0011415168105660678,-0.007990617673962482,0.007990617673962482,6.999999993867815
938-219,50,60,64,0,64,1.0,,False,False,MIXED,0.0,0.0,0.0,0.0
947-704,30,60,32,0,1,0.6267281105990783,0.10476190476190476,True,True,LR,-0.9190650956476331,0.03073796306513822,0.9190650956476331,29.89999999902727
947-704,40,60,32,0,2,0.8801498127340824,0.10476190476190476,True,True,LR,-0.8881523647402256,0.01916875607353005,0.8881523647402256,46.33333333091621
947-704,50,60,32,0,0,1.0,0.10476190476190476,True,True,LR,-0.8728715609439694,0.0,0.8728715609439694,872871560943.9695
948-444,30,60,32,0,0,1.0,0.10476190476190476,True,True,LR,-0.8728715609439694,0.0,0.8728715609439694,872871560943.9695
948-444,40,60,32,0,0,1.0,0.10476190476190476,True,True,LR,-0.8728715609439694,0.0,0.8728715609439694,872871560943.9695
948-444,50,60,32,0,64,1.0,0.10476190476190476,True,True,LR,-0.8728715609439694,0.0,0.8728715609439694,872871560943.9695
