Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,b11,b12,b13,b14,b15,b16,b17,b18,b21,b22,b23,b24,b25,b26,b27,b28,b31,b32,b33,b34,b35,b36,b37,b38,b41,b42,b43,b44,b45,b46,b47,b48,b51,b52,b53,b54,b55,b56,b57,b58,b61,b62,b63,b64,b65,b66,b67,b68,b71,b72,b73,b74,b75,b76,b77,b78,b81,b82,b83,b84,b85,b86,b87,b88,Score,Joint,Is_there,where_x,where_y,Is_there_LEAD,Ac_Score,ScoreLEAD,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Similarity,Score_LAG1,Consistency_LEAD1,Joint_LAG1,Dif_consist_LAG1,RegionGo,Similarity_LAG1
140-615,49,140-615PL2,Absent,14621,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,35,34,33,32,0,0,2,27,28,29,30,31,0,0,3,26,25,24,23,22,0,0,4,17,18,19,20,21,0,0,5,16,15,14,13,12,0,0,6,7,8,9,10,11,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1,Unicorn_Absent,197,32.0,36,0.972972972972973,64,0.027027027027026973,1.0,IN,1.0,31.0,1.0,1.0,0.4375,IN,0.453125
140-615,50,140-615PL2,Absent,15896,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,35,36,37,38,0,0,2,33,31,32,30,29,0,0,3,24,25,26,27,28,0,0,4,22,20,18,17,16,0,0,5,23,21,19,14,15,0,0,6,8,9,10,11,12,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1,Unicorn_Absent,229,32.0,36,1.0,64,0.0,1.0,IN,1.0,32.0,1.0,0.0,0.027027027027026973,IN,1.0
140-615,51,140-615PL2,Absent,14833,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,13,36,35,34,0,0,2,11,14,31,32,33,0,0,3,10,15,30,29,28,0,0,4,9,16,25,26,27,0,0,5,8,17,24,23,22,0,0,6,7,18,19,20,21,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1,Unicorn_Absent,261,32.0,36,1.0,64,0.0,1.0,IN,1.0,32.0,1.0,0.0,0.0,IN,1.0
140-615,56,140-615PL2,Absent,15441,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,24,25,36,0,0,1,5,14,23,26,35,0,0,13,6,15,22,27,34,0,0,12,7,16,21,28,33,0,0,11,8,17,20,29,32,0,0,10,9,18,19,30,31,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1,Unicorn_Absent,421,32.0,36,1.0,64,0.0,1.0,IN,1.0,32.0,1.0,0.0,0.0,IN,1.0
142-263,2,142-263PL1,Absent,52151,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,15,0,0,0,25,0,0,16,0,0,12,0,22,21,0,0,0,2,0,0,11,0,1,0,20,0,0,24,10,0,0,0,0,6,0,0,0,0,5,0,0,0,3,0,4,0,0,14,18,0,19,0,0,17,0,23,13,0,7,0,8,0,9,0,9.0,23,Unicorn_Absent,-1,-1,Unicorn_Absent,-59,13.0,25,,55,,0.5,RS,0.390625,,0.23255813953488372,,,RS,
142-263,3,142-263PL1,Absent,33164,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,16,0,0,0,17,0,25,0,28,0,26,3,0,0,2,0,0,0,22,0,0,21,0,0,13,0,0,7,0,0,8,0,6,0,0,0,18,14,0,24,0,0,23,4,12,0,5,0,20,27,0,0,0,15,10,0,11,0,9,0,19,13.0,19,Unicorn_Absent,-1,-1,Unicorn_Absent,-46,11.0,28,0.23255813953488372,44,0.28468323977546117,0.390625,RS,0.4375,9.0,0.3191489361702128,23.0,,RS,0.390625
142-263,4,142-263PL1,Absent,28551,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,1,6,0,27,0,28,0,0,5,30,0,0,29,0,2,0,4,26,1,0,25,24,0,0,23,19,0,20,0,21,0,0,22,14,34,0,33,0,32,3,0,0,18,0,17,0,15,0,16,0,11,0,0,13,0,12,0,7,0,31,10,9,0,0,8,11.0,21,Unicorn_Absent,-1,-1,Unicorn_Absent,-35,8.0,34,0.3191489361702128,56,0.18085106382978722,0.546875,RS,0.53125,13.0,0.4772727272727273,19.0,0.28468323977546117,RS,0.4375
142-263,5,142-263PL1,Absent,27137,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,8,0,0,17,0,18,0,7,0,30,0,0,29,0,31,0,0,15,0,16,28,0,6,0,5,0,26,25,24,27,0,0,0,23,0,13,0,0,14,0,0,4,0,21,0,22,3,0,19,12,0,0,2,0,20,0,1,0,10,0,11,0,0,9,8.0,24,Unicorn_Absent,-1,-1,Unicorn_Absent,-27,25.0,31,0.4772727272727273,61,0.1393939393939394,0.578125,RS,0.484375,11.0,0.24324324324324326,21.0,0.18085106382978722,RS,0.53125
142-263,6,142-263PL1,Absent,19417,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,5,0,0,0,15,0,0,6,0,0,11,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,3,9,0,13,0,0,0,14,0,0,0,0,0,2,0,0,0,1,0,8,0,0,0,0,7,25.0,7,Unicorn_Absent,-1,-1,Unicorn_Absent,-2,18.0,15,0.24324324324324326,39,0.17342342342342343,0.5,RS,0.234375,8.0,0.3103448275862069,24.0,0.1393939393939394,RS,0.484375
142-263,7,142-263PL1,Absent,19209,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,5,0,0,16,0,17,0,4,0,23,0,0,0,0,0,0,0,0,14,0,18,13,0,22,0,15,0,0,0,11,12,0,0,0,10,0,0,3,0,0,9,0,0,0,0,0,20,0,0,19,0,2,0,8,0,0,1,0,7,0,21,0,0,6,18.0,14,Unicorn_Absent,-1,-1,Unicorn_Absent,16,23.0,23,0.3103448275862069,46,0.13646368305209094,0.5,RS,0.359375,25.0,0.35294117647058826,7.0,0.17342342342342343,RS,0.234375
